slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record,distance_to_road_m,matched_segment_id,matched_road_name,matched_highway_class,match_status,district,movement_type,within_network_bbox,geographically_consistent
878,ARN/WK/83A12/2016/01,Arunachal Pradesh,West Kameng Bhalukpong Circuit House slide NE of Bhalukpong Helipad,27.018342,92.6356,Debris Slide 1 July 2016 at 12:20 hrs.,878 ARN/WK/83A12/2016/01 Arunachal Pradesh West Kameng Bhalukpong Circuit House slide NE of Bhalukpong Helipad 27.018342 92.6356 Debris Slide 1 July 2016 at 12:20 hrs.,131.92,seg_1217478195_0,Bhalukpong-Doimara,primary,MATCHED,West Kameng,Debris Slide,True,True
879,AR/WKG/83A12/2021/051,Arunachal Pradesh,West Kameng Bhalukpong Cicuit House Slide Bhalukpong Circuit House,27.018583,92.635667,Soil Slide NA,879 AR/WKG/83A12/2021/051 Arunachal Pradesh West Kameng Bhalukpong Cicuit House Slide Bhalukpong Circuit House 27.018583 92.635667 Soil Slide NA,118.35,seg_1217478195_0,Bhalukpong-Doimara,primary,MATCHED,West Kameng,Soil Slide,True,True
884,AP/WK/83E12/2008/A-9,Arunachal Pradesh,West Kameng Slide at Tippi,27.035278,92.610556,Rock cum Debris Slide 2008,884 AP/WK/83E12/2008/A-9 Arunachal Pradesh West Kameng Slide at Tippi  27.035278 92.610556 Rock cum Debris Slide 2008,370.04,seg_777399946_0,Bhalukpong-Doimara,primary,MATCHED,West Kameng,Rock Cum Debris Slide,True,True
885,AR/WKG/83A12/2021/050,Arunachal Pradesh,West Kameng Tippi Slide NH 13/ Tippi,27.036111,92.603333,Debris Flow NA,885 AR/WKG/83A12/2021/050 Arunachal Pradesh West Kameng Tippi Slide NH 13/ Tippi 27.036111 92.603333 Debris Flow NA,212.9,seg_777399946_0,Bhalukpong-Doimara,primary,MATCHED,West Kameng,Debris Flow,True,True
894,AR/WKA/83A12/2014/23,Arunachal Pradesh,West Kameng  NH-13,27.06658,92.59572,Debris Slide 2013,894 AR/WKA/83A12/2014/23 Arunachal Pradesh West Kameng  NH-13 27.06658 92.59572 Debris Slide 2013,287.14,seg_565306841_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
904,AR/WKG/83A12/2021/001,Arunachal Pradesh,West Kameng NH 13 Slide 1 NH 13/ SW of Elephant Flat,27.086139,92.584361,Debris Slide NA,904 AR/WKG/83A12/2021/001 Arunachal Pradesh West Kameng NH 13 Slide 1 NH 13/ SW of Elephant Flat 27.086139 92.584361 Debris Slide NA,6.34,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
905,AP/WK/83E12/2008/A-10,Arunachal Pradesh,West Kameng Slide at 10km SE of Sessa Village,27.086667,92.585278,Debris  2008,905 AP/WK/83E12/2008/A-10 Arunachal Pradesh West Kameng Slide at 10km SE of Sessa Village  27.086667 92.585278 Debris  2008,3.96,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris,True,True
909,AR/WKG/83A12/2021/057,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 6 Pinjori-Kimi Road,27.092028,92.597028,Rock Slide NA,909 AR/WKG/83A12/2021/057 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 6 Pinjori-Kimi Road 27.092028 92.597028 Rock Slide NA,6.44,seg_565307022_0,,secondary,MATCHED,West Kameng,Rock Slide,True,True
911,AP/WK/83E12/2008/A-11,Arunachal Pradesh,West Kameng Slide at 15km SE of Sessa Village,27.093889,92.591389,Debris  2008,911 AP/WK/83E12/2008/A-11 Arunachal Pradesh West Kameng Slide at 15km SE of Sessa Village  27.093889 92.591389 Debris  2008,295.1,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris,True,True
928,AR/WKG/83A12/2021/004,Arunachal Pradesh,West Kameng East of Sessa Slide 2 NH 13/ E of Sessa,27.105083,92.555222,Debris Slide NA,928 AR/WKG/83A12/2021/004 Arunachal Pradesh West Kameng East of Sessa Slide 2 NH 13/ E of Sessa 27.105083 92.555222 Debris Slide NA,8.55,seg_44736738_0,Doimara-Nichiphu,primary,MATCHED,West Kameng,Debris Slide,True,True
