slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
858,AR/LON/83N06/2022/003,Arunachal Pradesh,Longding 800 m S of Bonia Longding-Konsa road,26.736494,95.261822,Debris Slide NA,858 AR/LON/83N06/2022/003 Arunachal Pradesh Longding 800 m S of Bonia Longding-Konsa road 26.736494 95.261822 Debris Slide NA
859,AR/LON/83N05/2022/002,Arunachal Pradesh,Longding 500 m E of Niausa village Longding - Konsa road,26.799929,95.309533,Debris Slide NA,859 AR/LON/83N05/2022/002 Arunachal Pradesh Longding 500 m E of Niausa village Longding - Konsa road 26.799929 95.309533 Debris Slide NA
860,AR/LON/83N05/2022/001,Arunachal Pradesh,Longding 2.5 km SE of Longding Longding-Khonsa road,26.849624,95.320878,Debris Slide NA,860 AR/LON/83N05/2022/001 Arunachal Pradesh Longding 2.5 km SE of Longding Longding-Khonsa road 26.849624 95.320878 Debris Slide NA
861,AR/LON/83N05/2022/005,Arunachal Pradesh,Longding 4 km E of Longding Longding-Khonsa road,26.87859,95.35234,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,861 AR/LON/83N05/2022/005 Arunachal Pradesh Longding 4 km E of Longding Longding-Khonsa road 26.87859 95.35234 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History
862,AR/LON/83N05/2022/004,Arunachal Pradesh,Longding 1.3 km E of Longding Longding-Khonsa road,26.881881,95.333027,Debris Slide NA,862 AR/LON/83N05/2022/004 Arunachal Pradesh Longding 1.3 km E of Longding Longding-Khonsa road 26.881881 95.333027 Debris Slide NA
863,AR/TIR/83N09/2022/019,Arunachal Pradesh,Tirap 1.7 km SW of Lazu Khonsa-Lazu road,26.885896,95.562013,Debris Slide NA,863 AR/TIR/83N09/2022/019 Arunachal Pradesh Tirap 1.7 km SW of Lazu Khonsa-Lazu road 26.885896 95.562013 Debris Slide NA
864,AR/TIR/83N09/2022/018,Arunachal Pradesh,Tirap 3.5 km N of Sinnu Khonsa-Lazu road,26.897502,95.542612,Rock Fall NA,864 AR/TIR/83N09/2022/018 Arunachal Pradesh Tirap 3.5 km N of Sinnu Khonsa-Lazu road 26.897502 95.542612 Rock Fall NA
865,AR/TIR/83N09/2022/017,Arunachal Pradesh,Tirap 3.7 km SE of Sanliam Khonsa-Lazu road,26.904294,95.549313,Debris Slide NA,865 AR/TIR/83N09/2022/017 Arunachal Pradesh Tirap 3.7 km SE of Sanliam Khonsa-Lazu road 26.904294 95.549313 Debris Slide NA
866,AR/LON/83N05/2022/006,Arunachal Pradesh,Longding 2 km W of Tissa Longding-Khonsa road,26.904445,95.360399,Debris Slide NA,866 AR/LON/83N05/2022/006 Arunachal Pradesh Longding 2 km W of Tissa Longding-Khonsa road 26.904445 95.360399 Debris Slide NA
867,AR/TIR/83N09/2022/016,Arunachal Pradesh,Tirap 1.5 km SE of Sanliam Khonsa-Lazu road,26.919823,95.545421,Debris Slide NA,867 AR/TIR/83N09/2022/016 Arunachal Pradesh Tirap 1.5 km SE of Sanliam Khonsa-Lazu road 26.919823 95.545421 Debris Slide NA
868,AR/LON/83N05/2022/007,Arunachal Pradesh,Longding 2 km NE of Tissa Longding-Khonsa road,26.925697,95.371448,Debris Slide NA,868 AR/LON/83N05/2022/007 Arunachal Pradesh Longding 2 km NE of Tissa Longding-Khonsa road 26.925697 95.371448 Debris Slide NA
869,AR/TIR/83N05/2022/009,Arunachal Pradesh,Tirap 4 km SW of Pangchau Longding-Khonsa road,26.93529,95.37696,Debris Slide NA,869 AR/TIR/83N05/2022/009 Arunachal Pradesh Tirap 4 km SW of Pangchau Longding-Khonsa road 26.93529 95.37696 Debris Slide NA
