slide_no,slide_id,state,description_before_coordinates,latitude,longitude,description_after_coordinates,raw_record
878,ARN/WK/83A12/2016/01,Arunachal Pradesh,West Kameng Bhalukpong Circuit House slide NE of Bhalukpong Helipad,27.018342,92.6356,Debris Slide 1 July 2016 at 12:20 hrs.,878 ARN/WK/83A12/2016/01 Arunachal Pradesh West Kameng Bhalukpong Circuit House slide NE of Bhalukpong Helipad 27.018342 92.6356 Debris Slide 1 July 2016 at 12:20 hrs.
879,AR/WKG/83A12/2021/051,Arunachal Pradesh,West Kameng Bhalukpong Cicuit House Slide Bhalukpong Circuit House,27.018583,92.635667,Soil Slide NA,879 AR/WKG/83A12/2021/051 Arunachal Pradesh West Kameng Bhalukpong Cicuit House Slide Bhalukpong Circuit House 27.018583 92.635667 Soil Slide NA
884,AP/WK/83E12/2008/A-9,Arunachal Pradesh,West Kameng Slide at Tippi,27.035278,92.610556,Rock cum Debris Slide 2008,884 AP/WK/83E12/2008/A-9 Arunachal Pradesh West Kameng Slide at Tippi  27.035278 92.610556 Rock cum Debris Slide 2008
885,AR/WKG/83A12/2021/050,Arunachal Pradesh,West Kameng Tippi Slide NH 13/ Tippi,27.036111,92.603333,Debris Flow NA,885 AR/WKG/83A12/2021/050 Arunachal Pradesh West Kameng Tippi Slide NH 13/ Tippi 27.036111 92.603333 Debris Flow NA
894,AR/WKA/83A12/2014/23,Arunachal Pradesh,West Kameng  NH-13,27.06658,92.59572,Debris Slide 2013,894 AR/WKA/83A12/2014/23 Arunachal Pradesh West Kameng  NH-13 27.06658 92.59572 Debris Slide 2013
904,AR/WKG/83A12/2021/001,Arunachal Pradesh,West Kameng NH 13 Slide 1 NH 13/ SW of Elephant Flat,27.086139,92.584361,Debris Slide NA,904 AR/WKG/83A12/2021/001 Arunachal Pradesh West Kameng NH 13 Slide 1 NH 13/ SW of Elephant Flat 27.086139 92.584361 Debris Slide NA
905,AP/WK/83E12/2008/A-10,Arunachal Pradesh,West Kameng Slide at 10km SE of Sessa Village,27.086667,92.585278,Debris  2008,905 AP/WK/83E12/2008/A-10 Arunachal Pradesh West Kameng Slide at 10km SE of Sessa Village  27.086667 92.585278 Debris  2008
909,AR/WKG/83A12/2021/057,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 6 Pinjori-Kimi Road,27.092028,92.597028,Rock Slide NA,909 AR/WKG/83A12/2021/057 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 6 Pinjori-Kimi Road 27.092028 92.597028 Rock Slide NA
911,AP/WK/83E12/2008/A-11,Arunachal Pradesh,West Kameng Slide at 15km SE of Sessa Village,27.093889,92.591389,Debris  2008,911 AP/WK/83E12/2008/A-11 Arunachal Pradesh West Kameng Slide at 15km SE of Sessa Village  27.093889 92.591389 Debris  2008
915,AR/WKG/83A12/2021/052,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 1 Pinjori-Kimi Road,27.099083,92.626306,Debris Slide NA,915 AR/WKG/83A12/2021/052 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 1 Pinjori-Kimi Road 27.099083 92.626306 Debris Slide NA
925,AR/WKG/83A12/2021/053,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 2 Pinjori-Kimi Road,27.103639,92.76025,Rock Slide NA,925 AR/WKG/83A12/2021/053 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 2 Pinjori-Kimi Road 27.103639 92.76025 Rock Slide NA
928,AR/WKG/83A12/2021/004,Arunachal Pradesh,West Kameng East of Sessa Slide 2 NH 13/ E of Sessa,27.105083,92.555222,Debris Slide NA,928 AR/WKG/83A12/2021/004 Arunachal Pradesh West Kameng East of Sessa Slide 2 NH 13/ E of Sessa 27.105083 92.555222 Debris Slide NA
929,AR/WKG/83A12/2021/003,Arunachal Pradesh,West Kameng East of Sessa Slide 1 N130? of NH 13/ E of Sessa,27.1055,92.556278,Debris Slide NA,929 AR/WKG/83A12/2021/003 Arunachal Pradesh West Kameng East of Sessa Slide 1 N130? of NH 13/ E of Sessa 27.1055 92.556278 Debris Slide NA
934,AR/WKG/83A12/2021/002,Arunachal Pradesh,West Kameng NH 13 Slide 2 NH 13/ NW of Elephant Flat,27.106939,92.573544,Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History,934 AR/WKG/83A12/2021/002 Arunachal Pradesh West Kameng NH 13 Slide 2 NH 13/ NW of Elephant Flat 27.106939 92.573544 Debris Slide NA Sl.No. Slide_No State District Slide_Name NH_SH_Location Latitude Longitude Material Involved Movement Type History
936,AR/WKG/83A12/2021/048,Arunachal Pradesh,West Kameng NH 13 Slide 33 NH 13/ Sedal,27.1105,92.537444,Debris Slide NA,936 AR/WKG/83A12/2021/048 Arunachal Pradesh West Kameng NH 13 Slide 33 NH 13/ Sedal 27.1105 92.537444 Debris Slide NA
939,AR/WKG/83A12/2021/046,Arunachal Pradesh,West Kameng Seppa Road Slide 7 Seppa Road Section,27.112694,92.543472,Debris Slide NA,939 AR/WKG/83A12/2021/046 Arunachal Pradesh West Kameng Seppa Road Slide 7 Seppa Road Section 27.112694 92.543472 Debris Slide NA
940,AR/WKG/83A12/2021/005,Arunachal Pradesh,West Kameng NH 13 Slide 3 NH 13,27.11375,92.537583,Debris Slide NA,940 AR/WKG/83A12/2021/005 Arunachal Pradesh West Kameng NH 13 Slide 3 NH 13 27.11375 92.537583 Debris Slide NA
943,AR/WKG/83A12/2021/054,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 3 Pinjori-Kimi Road,27.115694,92.763028,Rock Slide NA,943 AR/WKG/83A12/2021/054 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 3 Pinjori-Kimi Road 27.115694 92.763028 Rock Slide NA
945,AR/WKG/83A12/2021/047,Arunachal Pradesh,West Kameng NH 13 Slide 32 NH 13/ Sedal,27.116194,92.543111,Debris Slide NA,945 AR/WKG/83A12/2021/047 Arunachal Pradesh West Kameng NH 13 Slide 32 NH 13/ Sedal 27.116194 92.543111 Debris Slide NA
959,AR/WKG/83A12/2021/055,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 4 Pinjori-Kimi Road,27.134444,92.599611,Debris Slide NA,959 AR/WKG/83A12/2021/055 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 4 Pinjori-Kimi Road 27.134444 92.599611 Debris Slide NA
963,AR/WKG/83A12/2021/056,Arunachal Pradesh,West Kameng Pinjori-Kimi Road Slide 5 Pinjori-Kimi Road,27.148056,92.613889,Debris Slide NA,963 AR/WKG/83A12/2021/056 Arunachal Pradesh West Kameng Pinjori-Kimi Road Slide 5 Pinjori-Kimi Road 27.148056 92.613889 Debris Slide NA
965,AR/WKG/83A12/2021/006,Arunachal Pradesh,West Kameng NH 13 Slide 4 NH 13,27.152417,92.561778,Debris Slide NA,965 AR/WKG/83A12/2021/006 Arunachal Pradesh West Kameng NH 13 Slide 4 NH 13 27.152417 92.561778 Debris Slide NA
